Experiment 🧪,Model 🤗,Prefill (s),Per Token (s),Decode (tokens/s),Energy (tokens/kWh),Memory (MB),Backend 🏭,Precision 📥,Quantization 🗜️,Attention 👁️,Kernel ⚛️,Architecture 🏛️,End-to-End (s),Open LLM Score (%),Params (B)
4bit-bnb-sdpa,meta-llama/Meta-Llama-3-8B,0.34,0.0661207046508789,15.091,312088.775,6261.578,pytorch,float16,BnB.4bit,SDPA,No Kernel,LlamaForCausalLM,4.518,62.35,8
4bit-bnb-fa2,meta-llama/Meta-Llama-3-8B,0.34,0.065809341430664,15.124,314365.755,6261.578,pytorch,float16,BnB.4bit,FAv2,No Kernel,LlamaForCausalLM,4.506,62.35,8
bfloat16-eager,meta-llama/Meta-Llama-3-8B,0.089,0.0396543998718261,25.21,357782.873,16436.729,pytorch,bfloat16,Unquantized,Eager,No Kernel,LlamaForCausalLM,2.588,62.35,8
float16-eager,meta-llama/Meta-Llama-3-8B,0.087,0.0395489273071289,25.269,353294.912,16436.729,pytorch,float16,Unquantized,Eager,No Kernel,LlamaForCausalLM,2.579,62.35,8
bfloat16-sdpa,meta-llama/Meta-Llama-3-8B,0.084,0.0391639022827148,25.513,365955.767,16436.729,pytorch,bfloat16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,2.553,62.35,8
float16-sdpa,meta-llama/Meta-Llama-3-8B,0.084,0.0390942726135253,25.558,361529.564,16436.729,pytorch,float16,Unquantized,SDPA,No Kernel,LlamaForCausalLM,2.548,62.35,8
bfloat16-fa2,meta-llama/Meta-Llama-3-8B,0.083,0.0384204788208007,26.003,373491.234,16436.729,pytorch,bfloat16,Unquantized,FAv2,No Kernel,LlamaForCausalLM,2.505,62.35,8
float16-fa2,meta-llama/Meta-Llama-3-8B,0.083,0.0383436813354492,26.056,367074.662,16436.729,pytorch,float16,Unquantized,FAv2,No Kernel,LlamaForCausalLM,2.501,62.35,8
4bit-awq-gemm-fa2,Qwen/Qwen1.5-7B,0.583,0.5438034057617187,1.839,24733.922,7283.984,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,Qwen2ForCausalLM,34.847,61.76,7
4bit-awq-gemm-eager,Qwen/Qwen1.5-7B,0.58,0.5349846801757813,1.869,24884.834,7283.985,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Qwen2ForCausalLM,34.287,61.76,7
4bit-awq-gemm-sdpa,Qwen/Qwen1.5-7B,0.576,0.5337415771484375,1.873,24943.531,7283.984,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,Qwen2ForCausalLM,34.205,61.76,7
4bit-gptq-exllama-v2-fa2,Qwen/Qwen1.5-7B,0.332,0.2912143249511719,3.433,44448.349,7110.584,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Qwen2ForCausalLM,18.683,61.76,7
4bit-gptq-exllama-v1-fa2,Qwen/Qwen1.5-7B,0.332,0.2911447143554687,3.434,44600.315,7110.584,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Qwen2ForCausalLM,18.681,61.76,7
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-7B,0.326,0.2809876403808594,3.558,44945.197,7110.585,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,18.031,61.76,7
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-7B,0.326,0.2809231262207031,3.559,45123.336,7110.585,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,18.028,61.76,7
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-7B,0.323,0.2804192810058594,3.565,45054.739,7110.584,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,17.993,61.76,7
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-7B,0.323,0.2804643859863281,3.565,45248.081,7110.584,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,17.995,61.76,7
8bit-bnb-fa2,Qwen/Qwen1.5-7B,0.113,0.1120655364990234,8.836,214223.982,10046.34,pytorch,float16,BnB.8bit,FAv2,No Kernel,Qwen2ForCausalLM,7.214,61.76,7
8bit-bnb-eager,Qwen/Qwen1.5-7B,0.116,0.1115320281982421,8.932,211004.127,10046.34,pytorch,float16,BnB.8bit,Eager,No Kernel,Qwen2ForCausalLM,7.169,61.76,7
8bit-bnb-sdpa,Qwen/Qwen1.5-7B,0.113,0.109051902770996,9.09,218295.36,10046.34,pytorch,float16,BnB.8bit,SDPA,No Kernel,Qwen2ForCausalLM,7.032,61.76,7
4bit-bnb-eager,Qwen/Qwen1.5-7B,0.333,0.0687841262817382,14.581,317106.176,6859.693,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,4.656,61.76,7
4bit-bnb-fa2,Qwen/Qwen1.5-7B,0.339,0.0670146560668945,14.816,311296.934,6859.561,pytorch,float16,BnB.4bit,FAv2,No Kernel,Qwen2ForCausalLM,4.584,61.76,7
4bit-bnb-sdpa,Qwen/Qwen1.5-7B,0.329,0.0640255966186523,15.479,326131.137,6859.561,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,4.409,61.76,7
float16-fa2,Qwen/Qwen1.5-7B,0.109,0.0466769905090332,21.352,346427.881,16416.242,pytorch,float16,Unquantized,FAv2,No Kernel,Qwen2ForCausalLM,3.06,61.76,7
bfloat16-fa2,Qwen/Qwen1.5-7B,0.102,0.0466493453979492,21.421,353106.495,16416.242,pytorch,bfloat16,Unquantized,FAv2,No Kernel,Qwen2ForCausalLM,3.043,61.76,7
bfloat16-eager,Qwen/Qwen1.5-7B,0.102,0.03768115234375,26.524,400422.276,16416.242,pytorch,bfloat16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,2.476,61.76,7
float16-eager,Qwen/Qwen1.5-7B,0.107,0.0375142402648925,26.639,394014.231,16416.242,pytorch,float16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,2.47,61.76,7
bfloat16-sdpa,Qwen/Qwen1.5-7B,0.097,0.0370933761596679,26.94,401217.711,16416.242,pytorch,bfloat16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,2.435,61.76,7
float16-sdpa,Qwen/Qwen1.5-7B,0.103,0.0370319366455078,26.983,393552.799,16416.242,pytorch,float16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,2.437,61.76,7
4bit-awq-gemm-eager,Deci/DeciLM-7B,0.613,0.5730969848632812,1.745,24210.217,4769.652,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,DeciLMForCausalLM,36.726,61.55,7
4bit-awq-gemm-fa2,Deci/DeciLM-7B,0.612,0.5726207885742187,1.746,23850.512,4769.652,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,DeciLMForCausalLM,36.695,61.55,7
4bit-gptq-exllama-v1-eager,Deci/DeciLM-7B,0.333,0.2900664367675781,3.447,45197.757,4542.986,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,DeciLMForCausalLM,18.611,61.55,7
4bit-gptq-exllama-v2-eager,Deci/DeciLM-7B,0.333,0.2900756530761719,3.447,44927.579,4542.986,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,DeciLMForCausalLM,18.611,61.55,7
4bit-gptq-exllama-v2-fa2,Deci/DeciLM-7B,0.332,0.2900664367675781,3.447,45338.861,4542.986,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,DeciLMForCausalLM,18.61,61.55,7
4bit-gptq-exllama-v1-fa2,Deci/DeciLM-7B,0.332,0.2899988403320312,3.448,45413.43,4542.986,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,DeciLMForCausalLM,18.606,61.55,7
8bit-bnb-eager,Deci/DeciLM-7B,0.12,0.1160847702026367,8.653,220127.258,7514.465,pytorch,float16,BnB.8bit,Eager,No Kernel,DeciLMForCausalLM,7.414,61.55,7
8bit-bnb-fa2,Deci/DeciLM-7B,0.118,0.1140705261230468,8.838,220680.301,7514.465,pytorch,float16,BnB.8bit,FAv2,No Kernel,DeciLMForCausalLM,7.287,61.55,7
4bit-bnb-fa2,Deci/DeciLM-7B,0.327,0.0633221130371093,15.653,342726.63,4557.528,pytorch,float16,BnB.4bit,FAv2,No Kernel,DeciLMForCausalLM,4.328,61.55,7
4bit-bnb-eager,Deci/DeciLM-7B,0.327,0.0622366714477539,15.81,346144.992,4557.528,pytorch,float16,BnB.4bit,Eager,No Kernel,DeciLMForCausalLM,4.26,61.55,7
bfloat16-fa2,Deci/DeciLM-7B,0.081,0.0360253448486328,27.732,402966.607,14290.687,pytorch,bfloat16,Unquantized,FAv2,No Kernel,DeciLMForCausalLM,2.352,61.55,7
bfloat16-eager,Deci/DeciLM-7B,0.081,0.0360191993713378,27.735,405010.32,14290.687,pytorch,bfloat16,Unquantized,Eager,No Kernel,DeciLMForCausalLM,2.352,61.55,7
float16-fa2,Deci/DeciLM-7B,0.081,0.0359956474304199,27.756,396373.785,14290.687,pytorch,float16,Unquantized,FAv2,No Kernel,DeciLMForCausalLM,2.349,61.55,7
float16-eager,Deci/DeciLM-7B,0.081,0.0359823341369628,27.766,395406.425,14290.687,pytorch,float16,Unquantized,Eager,No Kernel,DeciLMForCausalLM,2.349,61.55,7
4bit-awq-gemm-fa2,TencentARC/Mistral_Pro_8B_v0.1,0.773,0.727773193359375,1.374,18484.764,6382.565,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,MistralForCausalLM,46.626,61.06,8
4bit-awq-gemm-eager,TencentARC/Mistral_Pro_8B_v0.1,0.771,0.7269785766601562,1.375,18744.722,6382.566,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,MistralForCausalLM,46.575,61.06,8
4bit-awq-gemm-sdpa,TencentARC/Mistral_Pro_8B_v0.1,0.768,0.7233239135742188,1.382,18817.726,6382.565,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,MistralForCausalLM,46.343,61.06,8
4bit-gptq-exllama-v2-fa2,TencentARC/Mistral_Pro_8B_v0.1,0.437,0.3888384094238281,2.571,35034.418,6157.952,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,MistralForCausalLM,24.937,61.06,8
4bit-gptq-exllama-v1-fa2,TencentARC/Mistral_Pro_8B_v0.1,0.437,0.388748291015625,2.572,35038.316,6157.952,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,MistralForCausalLM,24.931,61.06,8
4bit-gptq-exllama-v2-eager,TencentARC/Mistral_Pro_8B_v0.1,0.428,0.373291015625,2.679,35646.111,6157.953,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,MistralForCausalLM,23.946,61.06,8
4bit-gptq-exllama-v1-eager,TencentARC/Mistral_Pro_8B_v0.1,0.428,0.3731507263183594,2.68,35718.536,6157.953,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,MistralForCausalLM,23.937,61.06,8
4bit-gptq-exllama-v1-sdpa,TencentARC/Mistral_Pro_8B_v0.1,0.424,0.3728138122558593,2.682,35337.83,6157.952,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,MistralForCausalLM,23.912,61.06,8
4bit-gptq-exllama-v2-sdpa,TencentARC/Mistral_Pro_8B_v0.1,0.424,0.3728250732421875,2.682,35401.024,6157.952,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,MistralForCausalLM,23.913,61.06,8
8bit-bnb-fa2,TencentARC/Mistral_Pro_8B_v0.1,0.143,0.1442201538085937,6.921,168007.833,10056.901,pytorch,float16,BnB.8bit,FAv2,No Kernel,MistralForCausalLM,9.217,61.06,8
8bit-bnb-sdpa,TencentARC/Mistral_Pro_8B_v0.1,0.143,0.143204345703125,7.027,173011.776,10056.901,pytorch,float16,BnB.8bit,SDPA,No Kernel,MistralForCausalLM,9.116,61.06,8
8bit-bnb-eager,TencentARC/Mistral_Pro_8B_v0.1,0.14,0.1392619476318359,7.134,172662.103,10056.919,pytorch,float16,BnB.8bit,Eager,No Kernel,MistralForCausalLM,8.968,61.06,8
4bit-bnb-fa2,TencentARC/Mistral_Pro_8B_v0.1,0.435,0.084602912902832,11.999,259569.17,6130.076,pytorch,float16,BnB.4bit,FAv2,No Kernel,MistralForCausalLM,5.73,61.06,8
4bit-bnb-eager,TencentARC/Mistral_Pro_8B_v0.1,0.424,0.0817295379638671,12.075,260779.846,6130.207,pytorch,float16,BnB.4bit,Eager,No Kernel,MistralForCausalLM,5.64,61.06,8
4bit-bnb-sdpa,TencentARC/Mistral_Pro_8B_v0.1,0.42,0.0790732803344726,12.565,269402.391,6130.076,pytorch,float16,BnB.4bit,SDPA,No Kernel,MistralForCausalLM,5.418,61.06,8
float16-fa2,TencentARC/Mistral_Pro_8B_v0.1,0.109,0.0604067840576171,16.489,274028.33,18774.938,pytorch,float16,Unquantized,FAv2,No Kernel,MistralForCausalLM,3.928,61.06,8
bfloat16-fa2,TencentARC/Mistral_Pro_8B_v0.1,0.109,0.0602050552368164,16.54,278482.956,18774.938,pytorch,bfloat16,Unquantized,FAv2,No Kernel,MistralForCausalLM,3.912,61.06,8
bfloat16-eager,TencentARC/Mistral_Pro_8B_v0.1,0.106,0.0464824333190918,21.503,319930.322,18774.964,pytorch,bfloat16,Unquantized,Eager,No Kernel,MistralForCausalLM,3.035,61.06,8
float16-eager,TencentARC/Mistral_Pro_8B_v0.1,0.104,0.0463052787780761,21.591,317464.847,18774.948,pytorch,float16,Unquantized,Eager,No Kernel,MistralForCausalLM,3.022,61.06,8
bfloat16-sdpa,TencentARC/Mistral_Pro_8B_v0.1,0.1,0.0459110412597656,21.766,321977.597,18774.922,pytorch,bfloat16,Unquantized,SDPA,No Kernel,MistralForCausalLM,2.993,61.06,8
float16-sdpa,TencentARC/Mistral_Pro_8B_v0.1,0.1,0.045825023651123,21.81,316808.524,18774.922,pytorch,float16,Unquantized,SDPA,No Kernel,MistralForCausalLM,2.988,61.06,8
4bit-awq-gemm-fa2,mistralai/Mistral-7B-v0.1,0.619,0.5822586669921875,1.717,23315.939,5324.908,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,MistralForCausalLM,37.303,60.97,7
4bit-awq-gemm-eager,mistralai/Mistral-7B-v0.1,0.618,0.581843994140625,1.718,23048.858,5324.909,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,MistralForCausalLM,37.272,60.97,7
4bit-awq-gemm-sdpa,mistralai/Mistral-7B-v0.1,0.616,0.5803335571289062,1.722,23347.602,5324.908,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,MistralForCausalLM,37.179,60.97,7
4bit-gptq-exllama-v2-fa2,mistralai/Mistral-7B-v0.1,0.35,0.3118530578613281,3.206,43317.144,5098.333,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,MistralForCausalLM,20.002,60.97,7
4bit-gptq-exllama-v1-fa2,mistralai/Mistral-7B-v0.1,0.35,0.3115284423828125,3.209,43611.412,5098.333,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,MistralForCausalLM,19.979,60.97,7
4bit-gptq-exllama-v1-eager,mistralai/Mistral-7B-v0.1,0.343,0.2991708068847656,3.342,44086.94,5098.334,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,MistralForCausalLM,19.191,60.97,7
4bit-gptq-exllama-v2-eager,mistralai/Mistral-7B-v0.1,0.343,0.2991022033691406,3.343,44383.228,5098.334,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,MistralForCausalLM,19.188,60.97,7
4bit-gptq-exllama-v1-sdpa,mistralai/Mistral-7B-v0.1,0.341,0.2988759155273437,3.346,42626.301,5098.333,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,MistralForCausalLM,19.17,60.97,7
4bit-gptq-exllama-v2-sdpa,mistralai/Mistral-7B-v0.1,0.339,0.2987468872070312,3.347,44321.077,5098.333,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,MistralForCausalLM,19.162,60.97,7
8bit-bnb-eager,mistralai/Mistral-7B-v0.1,0.115,0.1126348800659179,8.826,201961.061,8159.549,pytorch,float16,BnB.8bit,Eager,No Kernel,MistralForCausalLM,7.249,60.97,7
8bit-bnb-fa2,mistralai/Mistral-7B-v0.1,0.11,0.1106760025024414,8.958,210974.818,8159.532,pytorch,float16,BnB.8bit,FAv2,No Kernel,MistralForCausalLM,7.091,60.97,7
8bit-bnb-sdpa,mistralai/Mistral-7B-v0.1,0.11,0.108798973083496,9.145,215476.591,8159.532,pytorch,float16,BnB.8bit,SDPA,No Kernel,MistralForCausalLM,7.001,60.97,7
4bit-bnb-fa2,mistralai/Mistral-7B-v0.1,0.349,0.0657213439941406,15.246,319004.073,5087.173,pytorch,float16,BnB.4bit,FAv2,No Kernel,MistralForCausalLM,4.499,60.97,7
4bit-bnb-eager,mistralai/Mistral-7B-v0.1,0.341,0.0634572792053222,15.69,321755.425,5087.304,pytorch,float16,BnB.4bit,Eager,No Kernel,MistralForCausalLM,4.349,60.97,7
4bit-bnb-sdpa,mistralai/Mistral-7B-v0.1,0.337,0.0629340171813964,15.943,324518.207,5087.173,pytorch,float16,BnB.4bit,SDPA,No Kernel,MistralForCausalLM,4.279,60.97,7
bfloat16-fa2,mistralai/Mistral-7B-v0.1,0.089,0.0496291847229003,20.09,323519.703,15134.114,pytorch,bfloat16,Unquantized,FAv2,No Kernel,MistralForCausalLM,3.221,60.97,7
float16-fa2,mistralai/Mistral-7B-v0.1,0.088,0.0495564804077148,20.094,320495.212,15134.114,pytorch,float16,Unquantized,FAv2,No Kernel,MistralForCausalLM,3.224,60.97,7
bfloat16-eager,mistralai/Mistral-7B-v0.1,0.085,0.0377333755493164,26.488,384890.483,15134.14,pytorch,bfloat16,Unquantized,Eager,No Kernel,MistralForCausalLM,2.464,60.97,7
float16-eager,mistralai/Mistral-7B-v0.1,0.084,0.0376145935058593,26.567,378426.906,15134.124,pytorch,float16,Unquantized,Eager,No Kernel,MistralForCausalLM,2.454,60.97,7
bfloat16-sdpa,mistralai/Mistral-7B-v0.1,0.08,0.037184513092041,26.868,387772.351,15134.098,pytorch,bfloat16,Unquantized,SDPA,No Kernel,MistralForCausalLM,2.424,60.97,7
float16-sdpa,mistralai/Mistral-7B-v0.1,0.081,0.0371527671813964,26.9,379407.386,15134.098,pytorch,float16,Unquantized,SDPA,No Kernel,MistralForCausalLM,2.422,60.97,7
4bit-awq-gemm-eager,internlm/internlm-20b,1.649,1.55186181640625,0.644,8818.86,13814.415,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,InternLMForCausalLM,99.423,59.55,20
4bit-awq-gemm-fa2,internlm/internlm-20b,1.64,1.548072998046875,0.646,8837.399,13814.414,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,InternLMForCausalLM,99.17,59.55,20
4bit-gptq-exllama-v1-eager,internlm/internlm-20b,0.933,0.8323583984375,1.201,15649.081,13549.147,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,InternLMForCausalLM,53.372,59.55,20
4bit-gptq-exllama-v2-eager,internlm/internlm-20b,0.933,0.8323225708007812,1.201,15753.455,13549.147,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,InternLMForCausalLM,53.375,59.55,20
4bit-gptq-exllama-v1-fa2,internlm/internlm-20b,0.923,0.828368896484375,1.207,15833.825,13549.146,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,InternLMForCausalLM,53.115,59.55,20
4bit-gptq-exllama-v2-fa2,internlm/internlm-20b,0.923,0.828315673828125,1.207,15847.011,13549.146,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,InternLMForCausalLM,53.111,59.55,20
8bit-bnb-eager,internlm/internlm-20b,0.218,0.2256373748779296,4.427,104553.487,22557.798,pytorch,float16,BnB.8bit,Eager,No Kernel,InternLMForCausalLM,14.448,59.55,20
8bit-bnb-fa2,internlm/internlm-20b,0.205,0.2199705657958984,4.535,106790.052,22557.818,pytorch,float16,BnB.8bit,FAv2,No Kernel,InternLMForCausalLM,14.087,59.55,20
4bit-bnb-eager,internlm/internlm-20b,0.885,0.1361878967285156,7.368,144469.712,13120.886,pytorch,float16,BnB.4bit,Eager,No Kernel,InternLMForCausalLM,9.443,59.55,20
4bit-bnb-fa2,internlm/internlm-20b,0.875,0.1296261138916015,7.614,146847.46,13121.274,pytorch,float16,BnB.4bit,FAv2,No Kernel,InternLMForCausalLM,9.147,59.55,20
4bit-awq-gemm-fa2,Qwen/Qwen1.5-4B,0.324,0.300015625,3.332,47850.679,4465.662,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,Qwen2ForCausalLM,19.234,57.05,3
4bit-awq-gemm-eager,Qwen/Qwen1.5-4B,0.32,0.2964910278320312,3.369,47835.143,4465.663,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,Qwen2ForCausalLM,19.013,57.05,3
4bit-awq-gemm-sdpa,Qwen/Qwen1.5-4B,0.315,0.2922547302246093,3.42,48371.348,4465.662,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,Qwen2ForCausalLM,18.731,57.05,3
4bit-gptq-exllama-v1-fa2,Qwen/Qwen1.5-4B,0.187,0.1611243591308593,6.201,82950.842,4389.693,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,Qwen2ForCausalLM,10.346,57.05,3
4bit-gptq-exllama-v2-fa2,Qwen/Qwen1.5-4B,0.188,0.1608663024902343,6.21,83217.445,4389.693,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,Qwen2ForCausalLM,10.332,57.05,3
4bit-gptq-exllama-v1-eager,Qwen/Qwen1.5-4B,0.175,0.1476474914550781,6.77,85702.195,4389.694,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,Qwen2ForCausalLM,9.48,57.05,3
4bit-gptq-exllama-v2-eager,Qwen/Qwen1.5-4B,0.176,0.1475768280029296,6.773,85438.459,4389.694,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,Qwen2ForCausalLM,9.476,57.05,3
4bit-gptq-exllama-v1-sdpa,Qwen/Qwen1.5-4B,0.173,0.147183609008789,6.791,85471.267,4389.693,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,Qwen2ForCausalLM,9.45,57.05,3
4bit-gptq-exllama-v2-sdpa,Qwen/Qwen1.5-4B,0.173,0.1470167083740234,6.799,85485.972,4389.693,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,Qwen2ForCausalLM,9.44,57.05,3
8bit-bnb-fa2,Qwen/Qwen1.5-4B,0.144,0.1400719299316406,7.068,186048.288,5789.886,pytorch,float16,BnB.8bit,FAv2,No Kernel,Qwen2ForCausalLM,9.034,57.05,3
8bit-bnb-eager,Qwen/Qwen1.5-4B,0.145,0.1380055084228515,7.177,190039.518,5789.886,pytorch,float16,BnB.8bit,Eager,No Kernel,Qwen2ForCausalLM,8.906,57.05,3
8bit-bnb-sdpa,Qwen/Qwen1.5-4B,0.141,0.1393725433349609,7.253,190911.748,5789.886,pytorch,float16,BnB.8bit,SDPA,No Kernel,Qwen2ForCausalLM,8.838,57.05,3
4bit-bnb-fa2,Qwen/Qwen1.5-4B,0.179,0.085515266418457,11.771,295459.263,4291.035,pytorch,float16,BnB.4bit,FAv2,No Kernel,Qwen2ForCausalLM,5.539,57.05,3
4bit-bnb-eager,Qwen/Qwen1.5-4B,0.165,0.081112060546875,12.233,298994.398,4291.293,pytorch,float16,BnB.4bit,Eager,No Kernel,Qwen2ForCausalLM,5.315,57.05,3
4bit-bnb-sdpa,Qwen/Qwen1.5-4B,0.163,0.0783759384155273,12.64,311765.547,4291.035,pytorch,float16,BnB.4bit,SDPA,No Kernel,Qwen2ForCausalLM,5.144,57.05,3
float32-sdpa,Qwen/Qwen1.5-4B,0.117,0.0382289581298828,26.17,402186.957,17960.876,pytorch,float32,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,2.524,57.05,3
bfloat16-fa2,Qwen/Qwen1.5-4B,0.054,0.0380016326904296,26.316,512986.74,9040.668,pytorch,bfloat16,Unquantized,FAv2,No Kernel,Qwen2ForCausalLM,2.45,57.05,3
float16-fa2,Qwen/Qwen1.5-4B,0.058,0.036908031463623,26.735,504290.966,9040.668,pytorch,float16,Unquantized,FAv2,No Kernel,Qwen2ForCausalLM,2.415,57.05,3
bfloat16-eager,Qwen/Qwen1.5-4B,0.045,0.0374056968688964,27.288,517305.484,9040.668,pytorch,bfloat16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,2.352,57.05,3
float32-eager,Qwen/Qwen1.5-4B,0.12,0.0355420150756835,28.1,421433.196,17960.876,pytorch,float32,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,2.361,57.05,3
float16-eager,Qwen/Qwen1.5-4B,0.049,0.0346265602111816,28.724,528551.451,9040.668,pytorch,float16,Unquantized,Eager,No Kernel,Qwen2ForCausalLM,2.245,57.05,3
bfloat16-sdpa,Qwen/Qwen1.5-4B,0.042,0.0331509742736816,30.481,561288.441,9040.668,pytorch,bfloat16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,2.121,57.05,3
float16-sdpa,Qwen/Qwen1.5-4B,0.047,0.0324198417663574,30.754,549797.168,9040.668,pytorch,float16,Unquantized,SDPA,No Kernel,Qwen2ForCausalLM,2.094,57.05,3
4bit-awq-gemm-eager,huggyllama/llama-30b,2.701,2.518036376953125,0.397,5446.104,19862.693,pytorch,float16,AWQ.4bit,Eager,AWQ.GEMM,LlamaForCausalLM,161.344,56.96,32
4bit-awq-gemm-sdpa,huggyllama/llama-30b,2.687,2.51726953125,0.397,5338.902,19862.692,pytorch,float16,AWQ.4bit,SDPA,AWQ.GEMM,LlamaForCausalLM,161.285,56.96,32
4bit-awq-gemm-fa2,huggyllama/llama-30b,2.687,2.517612548828125,0.397,5358.251,19862.692,pytorch,float16,AWQ.4bit,FAv2,AWQ.GEMM,LlamaForCausalLM,161.309,56.96,32
4bit-gptq-exllama-v1-eager,huggyllama/llama-30b,1.526,1.339193359375,0.747,9679.865,19408.231,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV1,LlamaForCausalLM,85.897,56.96,32
4bit-gptq-exllama-v2-eager,huggyllama/llama-30b,1.525,1.3392659912109377,0.747,9686.892,19408.231,pytorch,float16,GPTQ.4bit,Eager,GPTQ.ExllamaV2,LlamaForCausalLM,85.901,56.96,32
4bit-gptq-exllama-v1-fa2,huggyllama/llama-30b,1.515,1.3383167724609375,0.747,9707.008,19408.23,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV1,LlamaForCausalLM,85.83,56.96,32
4bit-gptq-exllama-v1-sdpa,huggyllama/llama-30b,1.514,1.3383363037109377,0.747,9670.626,19408.23,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV1,LlamaForCausalLM,85.832,56.96,32
4bit-gptq-exllama-v2-fa2,huggyllama/llama-30b,1.514,1.3383751220703124,0.747,9694.464,19408.23,pytorch,float16,GPTQ.4bit,FAv2,GPTQ.ExllamaV2,LlamaForCausalLM,85.834,56.96,32
4bit-gptq-exllama-v2-sdpa,huggyllama/llama-30b,1.514,1.33838134765625,0.747,9681.041,19408.23,pytorch,float16,GPTQ.4bit,SDPA,GPTQ.ExllamaV2,LlamaForCausalLM,85.835,56.96,32
